NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10001760,Decisions on DEI. We are moving slowly in this department. If we want to reach more guest internationally we need to improve in this area.,31,69,13,,,,,,,
10001761,Overall expected employee workload,42,,,,,,,,,
10001762,Quicker decisions,13,,,,,,,,,
10001763,Decisions that require speed under control.,13,,,,,,,,,
10001764,REF,99,,,,,,,,,
10001765,Decisions about whether to buy or build technology.,6,,,,,,,,,
10001766,REF,99,,,,,,,,,
10001767,REF,99,,,,,,,,,
10001768,Technological decisions.,6,,,,,,,,,
10001770,n/a,99,,,,,,,,,
10001771,Chick-fil-A needs to improve how decisions around Restaurant simplification. There are a lot of difficult products and procedures for Team Members.,53,,,,,,,,,
10001772,"I notice a lot of overlap in roles and positions as far as what people are working on, so I would say decisions around headcount and work could be improved upon.",2,,,,,,,,,
10001774,REF,99,,,,,,,,,
10001775,"On occasion we do need to manage someone's career out of CFA and that takes way too long.  Creates drag for teams, morale issues, inability to hire more qualified talent, and a people leader challenge.",2,3,,,,,,,,
10001776,We can get better identifying decision makers and allowing those decision makers to act.  Sometimes we take too long when we are making decisions.,98,,,,,,,,,
10001779,REF,99,,,,,,,,,
10001783,REF,99,,,,,,,,,
10001785,REF,99,,,,,,,,,
10001786,It would be helpful to have greater clarity on how initiatives are prioritized across the organization.,4,12,,,,,,,,
10001787,"CFA needs to improve decisions about prioritization.  While our leadership makes high level decisions about priorities and focus, that messaging does not get supported by those actually managing work streams.  There is no follow through or accountability from leaders when their teams put higher priorities over their work in conflict with organizational priorities.  It seems like every department and sub department is only looking out for their own priorities as opposed to the greater organizational priorities or focus areas.",4,52,,,,,,,,
10001791,Strategic decisions: often unclear who owns decisions and guidance isn't well communicated or transparency is inconsistent,19,8,71,,,,,,,
10001792,decisions without a clear owner,98,,,,,,,,,
10001793,N/A,99,,,,,,,,,
10001794,REF,99,,,,,,,,,
10001796,REF,99,,,,,,,,,
10001797,"When to engage contractors. I know engagement of contractors enabled CFA to grow exponentially in its early days (and I know Truett's understandable aversion to headcount early on), but in the tech space in particular, when you fail to hire engineers and outsource everything you pay triple and get about a tenth of the quality of work product. How long will CFA be satisfied with that? What kind of stewardship is that? That is not a deal most of us would strike in our personal lives, and we have been entrusted with much more at Chick-fil-A to stewards than we have been entrusted with personally.",33,2,54,28,,,,,,
10001799,REF,99,,,,,,,,,
10001800,REF,99,,,,,,,,,
10001801,REF,99,,,,,,,,,
10001802,REF,99,,,,,,,,,
10001803,REF,99,,,,,,,,,
10001805,"Decisions to disproportionately invest resources in certain innovation projects that cannot bring sufficient ROI for Operators or the brand (""blank check"" for projects like Canadian expansion or Little Blue Menu).",10,31,66,53,,,,,,
10001807,CFA needs to do more to inform the business on different roles of each group and how they support each other to ultimately support Operators and Team Members.,53,,,,,,,,,
10001811,REF,99,,,,,,,,,
10001812,Promotion and headcount approval processes -- feel the lack of clarity and opportunity could be a competitive disadvantage,12,2,3,34,,,,,,
10001813,REF,99,,,,,,,,,
10001814,REF,99,,,,,,,,,
10001817,Holding relocating Operators accountable for poor restaurant conditions,53,,,,,,,,,
10001819,REF,99,,,,,,,,,
10001820,REF,99,,,,,,,,,
10001821,Increase in head count to support the tremendous growth of the business.,2,54,,,,,,,,
10001822,REF,99,,,,,,,,,
10001823,REF,99,,,,,,,,,
10001824,"We are not doing a great job with transparency around promotions.  It very much feels like people are tapped without much process or consistent rationale.  Within departments we need to do a better job of defining what leads to promotion opportunities, and across the Company we desperately need an entire releveling to bring more equity from one division to another.",3,57,52,19,,,,,,
10001825,"Adding internal resources/team members can be a lengthy process, which can be detrimental in today's tight labor market.",53,,,,,,,,,
10001826,REF,99,,,,,,,,,
10001828,Decisions regarding recruitment and retention of minority Operators,53,,,,,,,,,
10001829,REF,99,,,,,,,,,
10001830,REF,99,,,,,,,,,
10001833,REF,99,,,,,,,,,
10001834,REF,99,,,,,,,,,
10001835,REF,99,,,,,,,,,
10001836,REF,99,,,,,,,,,
10001838,REF,99,,,,,,,,,
10001839,REF,99,,,,,,,,,
10001842,"Non-Operator-facing decisions - when a direct Operator outcome is not obvious, but it?s still an important decision, sometimes we can be slow or flippant in the decision.",13,,,,,,,,,
10001843,REF,99,,,,,,,,,
10001844,REF,99,,,,,,,,,
10001845,REF,99,,,,,,,,,
10001847,REF,99,,,,,,,,,
10001848,REF,99,,,,,,,,,
10001849,"We need to be more enterprise-minded in our selections of technology solutions. There are many teams that are working on streamlining processes and implementing tech to assist, but these teams are not working together to make sure the various tech options are compatible or could be an enterprise solution. I understand that each department enjoys a certain amount of autonomy, but when these project involve touching a restaurant, we really need everyone enterprise-wide to have visibility into all projects occurring or being considered at each restaurant so we don't run into duplication of efforts or issues with Landlords or third parties. So often, legal is the team that uncovers these issues because we are engaged by multiple departments, but we don't often uncover the multiple projects until after a Landlord or third party is upset. Enterprise wide solutions (or at least enterprise compatible) are really critical.",22,6,53,,,,,,,
10001850,REF,99,,,,,,,,,
10001851,REF,99,,,,,,,,,
10001853,Nothing,98,,,,,,,,,
10001854,REF,99,,,,,,,,,
10001855,REF,99,,,,,,,,,
10001856,So many meetings about non-substantive matters,14,,,,,,,,,
10001858,Decisions where the sustainability of the workload is questionable.,29,42,,,,,,,,
10001860,"This is related to allocation of new hires, but distribution of work. When only certain departments get new hires, the workload becomes uneven and the team has to make it work until more help comes.",2,42,52,,,,,,,
10001861,REF,99,,,,,,,,,
10001863,REF,99,,,,,,,,,
10001864,Decisions around approaches for International.,31,,,,,,,,,
10001866,REF,99,,,,,,,,,
10001868,REF,99,,,,,,,,,
10001870,"Which threats and risks we need to anticipate and respond to earlier. We sometimes wait until the need is becoming critical to act. For example, anticipating that hyrbid working was probably sticking around, so working on digital workplace improvements earlier. Anticipating that our growth curve of staff headount would be exponential and reinventing talent aquisition approaches before it was needed. Anticipating that the wars for talent are about to get worse that they really are and responding with development programs and automation sooner. This is an older example, but anticipating that our supply chain would need reinventing before it was broken.",54,2,25,49,,,,,,
10001871,REF,99,,,,,,,,,
10001872,REF,99,,,,,,,,,
10001873,REF,99,,,,,,,,,
10001874,"The speed, effectiveness, and individuality of Operator response to the pandemic was a good reminder that the Operator relationship is our key differentiator. I think our decisions are starting to better reflect that, but perhaps some of our decisions, activities and initiatives in recent years had not thoroughly honored that truth. Let's resist the urge to replace the challenges arising from empowerment and entrepreneurship with the stasis and decline that would come from the simplicity of tight, central control.",53,22,,,,,,,,
10001875,International decisions.,31,,,,,,,,,
10001877,Our ability to explicitly say no to things,98,,,,,,,,,
10001878,"Generally speaking, the speed of decision-making due to collaboration required should be improved.",13,,,,,,,,,
10001879,REF,99,,,,,,,,,
10001880,REF,99,,,,,,,,,
10001881,REF,99,,,,,,,,,
10001883,REF,99,,,,,,,,,
10001884,"""Who makes the decision"" type of decisions",98,,,,,,,,,
10001885,"Responsibilities at the individual and team level are often sliced too thin, requiring collaboration across larger numbers of people.",98,,,,,,,,,
10001886,REF,99,,,,,,,,,
10001888,"Decisions around DE&I is still somewhat of a black box, even though it is apparent improvements are needed there.",98,,,,,,,,,
10001889,REF,99,,,,,,,,,
10001892,Technology at Support Center to support flexible future,16,6,,,,,,,,
10001894,REF,99,,,,,,,,,
10001895,To hire the best people we need to compete on certain fronts like remote work and work attire.  Chick-fil-A has moved further in this direction but it took a pandemic to do it.,98,,,,,,,,,
10001896,REF,99,,,,,,,,,
10001897,"CFA runs very lean teams. I think the teams are highly performant so I don't know that that's wrong, and I do think they're pretty reasonable about work-life balance. However, I do notice that it's hard to hit deadlines and teams are often feeling behind even if they aren't.",98,,,,,,,,,
10001901,Making decisions in a prompt and succinct manner.,98,,,,,,,,,
10001903,REF,99,,,,,,,,,
10001907,REF,99,,,,,,,,,
10001909,"I think we need to improve our speed when making decisions about hiring and talent. Because of our slow pace in moving individuals through our interview process, we often lose candidates to other jobs where they have interviewed and accepted an offer while we're still in early rounds.",13,2,,,,,,,,
10001916,REF,99,,,,,,,,,
10001917,Investing in technology to support hybrid work / meetings. Recent meetings I?ve hosted from support center with virtual attendees have encountered multiple AV/ technology issues.,6,,,,,,,,,
10001918,REF,99,,,,,,,,,
10001922,REF,99,,,,,,,,,
10001923,REF,99,,,,,,,,,
10001924,REF,99,,,,,,,,,
10001925,"CFA and CFA leadership needs to publicly and explicitly state its position towards the LBGTQ+ community. The ambiguity of the statements made to date and lack of follow through make it a barrier for some great people to join the CFA family; in addition, this makes certain current employees feel like they cannot be their true authentic selves at work which is a major shortcoming of our culture of care.",7,70,45,,,,,,,
10001926,REF,99,,,,,,,,,
10001927,REF,99,,,,,,,,,
10001928,REF,99,,,,,,,,,
10001932,REF,99,,,,,,,,,
10001935,REF,99,,,,,,,,,
10001937,"While I will sing the praises of Chick-fil-A's decision making in the sense that we are exceptionally analytical and really take the time to evaluate the impact of a decision, see the short and long term effects of it, and weigh risks thoroughly, that obviously can slow some decisions. 95% of the time, I still think that is the right thing to do and not being impulsive has probably saved Chick-fil-A a hundred times over in ways we will never even know. However, there also needs to be a little more room to be reactive to our environment and inject fun and spontaneity into the brand. I was lucky enough to witness an incredible example of this this year when Joe Saracino and Sara Storck led the 50/50 beverage campaign for the NBA Finals celebration. They saw an incredible marketing and customer experience opportunity to capitalize on, and were able to rally a large team to make it happen in less than two days. While the vast majority of decisions can't be made that way, and there were many who were hesitant stating there could be some backfire from moving so quickly, Joe said something to the effect of ""I hear the concerns, but in thinking through how incredibly minor the risks are for this type of short term offer we're going to do this bc it's a chance to really quickly inject some fun into Chick-fil-A."" It was personally the most fun I have had working on something here in years, and the long day and quick agility was reinvigorating. I think we need to find more opportunities for that instead of planning and evaluating every decision to death, when the risk level allows it.",26,53,50,13,,,,,,
10001938,Departments outside of DTT building technical solutions that are not supportable because DTT doesn't have bandwidth. This just creates a support nightmare long term.,52,,,,,,,,,
10001940,"We need to improve decisions about Staff roles. I continue to see us hiring contractors in DTT to build mission critical systems that we'll use for years to come when these things should be built by more permanent Staff. Our analysts are stretched thin maintaining outdated systems while simultaneously trying to implement new systems and features. We have too much broad ownership in many roles and not enough focus which drives us to hire contractors to focus on projects Staff should be devoted to. And now that we turn over non-managed service provider contractors every year, this causes even more headaches with turnover, ramp up time, and knowledge sharing.",6,33,,,,,,,,
10001941,"Showing care and valuing opinions of ALL staff, not just the few. Many staff sit in the quiet feeling uncared for and that their feelings and opinions are not valued when they don't fully match the company talking point.",15,,,,,,,,,
10001945,REF,99,,,,,,,,,
10001947,"Flexible future: I totally respect what leaders are trying to do here, but I do think we're being a little unrealistic with how hybrid meetings are going to go (while we tried to test this, I don't think many hybrid meetings I've been a part of have been super successful) and think there should be more virtual options for important business update meetings that are happening in person",16,,,,,,,,,
10001948,"How we decide, prioritize and/or invest in various initiatives;  or at least communicating what that process looks like from a high-level, so at the department level we clearly see the why behind decisions being made.",4,8,12,,,,,,,
10001949,REF,99,,,,,,,,,
10001951,"As work and needs evolve there become gaps where certain work loses its owner. Two individual teams will try to sort through who should support that need (ex. an existing system, supporting particular Operator questions), but neither group will want or have the capacity to support it. The teams will ask their leaders for help but we'll receive no decision on which team needs to support it, how that team can get staffed or the budget to continue to support that work and new work. Leadership will respond that they didn't have time to discuss it in their meeting or they didn't reach a decision yet. So the teams continue to feel the pain of inefficient responses and resolutions when issues come up for that body of work.",14,53,58,54,,,,,,
10001952,"Decisions regarding change - it takes a lot of convincing when we want/need to change vendors, change a process, etc",98,,,,,,,,,
10001954,Organizational decisions around how to build and develop a modern digital organization (and leadership) that is not beholden to contingent workers,98,,,,,,,,,
10001955,I don't know.,98,,,,,,,,,
10001958,Clear career pathing and opportunities that span departments,3,12,,,,,,,,
10001959,The pay-scale for employees could use improvement. My husband and I both work for CFA and the pay is vastly different for what each of us do.,20,,,,,,,,,
10001960,"Dress code being a bit more casual (even just jeans) would be great and I think help attract talent, especially in DTT",11,2,,,,,,,,
10001962,REF,99,,,,,,,,,
10001963,"Chick-fil-A, Inc. has opportunity to improve how we make decisions around culture. Having bias towards relationships and understanding this is a core trait for our business is super important. With times changing, we may have to get creative in what relationships may look like in the next few years and make hard decisions that won't comprise who we are but will promote positivity around change and how we partner and make connections.",7,,,,,,,,,
10001964,REF,99,,,,,,,,,
10001965,"Role clarity for stricter hiring at junior levels. While building talent in character is done with time and attention, some professional skills for analysis, financial complexity and logistics are not one that happens well once the role has been hired with a plan to grow that type of skill sets.",5,2,3,71,,,,,,
10001966,REF,99,,,,,,,,,
10001967,Remote Work,98,,,,,,,,,
10001972,REF,99,,,,,,,,,
10001974,"I think that in certain areas there is more ambiguity than others for career paths, I understand some of that is unavoidable and is just the nature of a certain path. But I feel like more leadership development opportunities for staff would be helpful for those staff interested in a people leader route.",3,,,,,,,,,
10001978,"At under 75 days with CFA, I do not feel equipped to respond.",98,,,,,,,,,
10001982,REF,99,,,,,,,,,
10001983,REF,99,,,,,,,,,
10001987,REF,99,,,,,,,,,
10001991,REF,99,,,,,,,,,
10001992,Planning cycles - too much of the busy work is hidden in essential,98,,,,,,,,,
10001997,We need more lateral communication and awareness to avoid making decisions that cause redundancy or duplicate efforts.,8,,,,,,,,,
10001999,Oracle cloud,98,,,,,,,,,
10002002,REF,99,,,,,,,,,
10002005,REF,99,,,,,,,,,
10002006,Make Remote 100% of the time acceptable,98,,,,,,,,,
10002009,REF,99,,,,,,,,,
10002013,"Perhaps I'm not at a high enough Level to see conversations about people getting moved around the business for leadership development opportunities. CFA could do a better job at including more people in discussions about long term career planning. There appears to be a group of ""on the rise"" and then everybody else. How can People Leaders become better equipped to have career growth discussions with members of their team? A couple of years ago a large internal study was done (with Prophet) around Talent and Capabilities Planning. Since the pandemic began I haven't heard anything more about that work. Did we spend a million+ dollars and put another binder on the shelf to collect dust?",2,54,3,70,,,,,,
10002014,REF,99,,,,,,,,,
10002015,REF,99,,,,,,,,,
10002016,REF,99,,,,,,,,,
10002019,REF,99,,,,,,,,,
10002021,REF,99,,,,,,,,,
10002022,"Prioritization of work, especially between multiple teams",4,,,,,,,,,
10002023,"Many meetings are started with prayer, which I think is pretty cool, but I think steps could be taken to make the prayers more non-denominational.",14,,,,,,,,,
10002024,REF,99,,,,,,,,,
10002025,REF,99,,,,,,,,,
10002026,REF,99,,,,,,,,,
10002031,REF,99,,,,,,,,,
10002032,REF,99,,,,,,,,,
10002033,REF,99,,,,,,,,,
10002034,1-year contingent worker policies is difficult in Software Engineering.  6 months of that time is used to really invest in and get someone up to speed.,13,,,,,,,,,
10002035,"Remote Work. I think we are really missing the mark with not allowing full-time remote, minus the large culture building meetings. We are going to lose a lot of talent and its really unfortunate that we are stuck on this one.  I do agree with our culture and how it's built, but I think Chick-fil-A is really slow when it comes to new generations and adapting to change.",38,2,7,13,,,,,,
10002036,REF,99,,,,,,,,,
10002038,REF,99,,,,,,,,,
10002042,understanding workforce needs around remote working,98,,,,,,,,,
10002044,How to treat contractors,33,,,,,,,,,
10002046,Use of broad resources that diverse staff bring to the table,69,,,,,,,,,
10002047,"As alway, foundational giving. Many organizations still have ties to discriminatory groups and though our giving agreements are yearly renewals now, that is very clearly only to cover ourselves in case of bad press in the future and doesn't fix the core problem.",98,,,,,,,,,
10002048,"We need Chick-fil-A to use DTT?s full potential. According to an estimate from senior leadership, half of all technology Chick-fil-A uses has no involvement from DTT. This creates a massive technical debt, encourages unnecessary risk, and promotes antiquated practices that are sometimes decades behind what DTT offers today. Other departments need to trust DTT to support their technology needs, and DTT needs the business to support that partnership.",6,28,,,,,,,,
10002049,REF,99,,,,,,,,,
10002054,REF,99,,,,,,,,,
10002055,It is difficult to not see the Total Rewards and Talent management at CFA to be a little bit inconsistent and vague. I know a lot of effort has been made to improve this over the years but there is still a lot of inconsistency across the organization. For example a role that is a level 10 in one department might be a 12 in another. Both really seem to be very similar work and Total Rewards might find them two levels apart. I don't mean to target Total Rewards but I believe more consistency could be achieved.,2,23,,,,,,,,
10002056,REF,99,,,,,,,,,
10002057,N/A,99,,,,,,,,,
10002058,"Sometimes we can decide who should decide things.  Understanding who owns the ""D"" can also be an issue that slows things down.",13,71,,,,,,,,
10002059,REF,99,,,,,,,,,
10002060,Communication decisions.,8,,,,,,,,,
10002063,REF,99,,,,,,,,,
10002064,Decisions on insourcing vs outsourcing.,98,,,,,,,,,
10002066,nepotism policies in a family business,98,,,,,,,,,
10002068,REF,99,,,,,,,,,
10002071,REF,99,,,,,,,,,
10002072,Speed of contract review.,13,,,,,,,,,
10002073,REF,99,,,,,,,,,
10002074,REF,99,,,,,,,,,
10002075,Collaboration amongst fellow team members.,53,,,,,,,,,
10002076,"I don't know if there's a good way around this but I feel like there are a lot of different types of meetings that can sometimes get in the way of work productivity.  I know it's important to meet as part of culture building, so I'm not necessarily trying disrupt that, but I will say that as contractor I was able to get a lot more work done as compared to when I became a staff member.",7,33,,,,,,,,
10002077,REF,99,,,,,,,,,
10002078,I think giving as much clarity as early as possible for big decisions that may affect staff could be improved. It felt like the decision to delay reopening the Support Center fully was sprung up last-minute and changed a number of people's plans.,12,,,,,,,,,
10002079,REF,99,,,,,,,,,
10002082,REF,99,,,,,,,,,
10002084,"I think the planning process is improving, but it can be challenging that planning happens so far in advance. Dynamic resourcing is helping.",98,,,,,,,,,
10002085,Have the option for 100% remote work for great talent that is not local.,2,,,,,,,,,
10002086,REF,99,,,,,,,,,
10002088,"Total Rewards. As I understand it, that team has a tremendous amount of responsibility. I do not envy them or presume the decisions are made lightly. From the first introduction of Total Rewards, there were changes made that did seem to improve the initial leveling/total rewards.  I still believe, however, that there are some glaring inconsistencies across the business. While I am very grateful for Chick-fil-A's care in compensation, inconsistencies have a negative impact on morale and culture. For instance, when the new structure was initially implemented, I was placed at one level. I felt it was wrong as did my people leader. A year later, that leveling was changed. It was explicitly explained to me that this was not a promotion, but a ""correction"" as they did agree my leveling was errant to begin with. What was never acknowledged or addressed, however, was the fact that, after a year of working at what was conceded as an incorrect level, the adjustment never came with any back compensation. I would just assume have been granted a promotion with no back compensation, but given that I was explicitly told it was a correction, back compensation would've made sense.  As I said, I am grateful for the correction in leveling. I'm grateful for the many ways Chick-fil-A takes care of me. I did not even bring the back compensation up at the time though, lest it be construed as me being ungrateful and a perpetual black mark on my reputation.  Further, on total rewards, we were told that the levels would provide a standard way to gauge work and that it would be consistent to the job, not the individual. I applaud that decision HOWEVER, in recent moves, I know of two individuals moving to new roles in which they were one if not two levels lower than their predecessor in those roles. There may be a reason for this, but the explanation of the decision was missing and leaves staff feeling as though Total Rewards is still a black box into which we have very little understanding.",3,20,23,5,57,,,,,
10002089,"Timing of Communicating Decisions - choosing to withhold information to wait for things to be perfectly buttoned-up breeds a lack of psychological safety in staff and operators leading to a feeling being stuck in a primal ""threat"" response and inability to work productively.",53,8,,,,,,,,
10002091,Cross-functional technology decisions that are supported by DTT.,6,,,,,,,,,
10002092,REF,99,,,,,,,,,
10002094,REF,99,,,,,,,,,
10002096,too much time gaining consensus on organizational structure,5,15,,,,,,,,
10002097,REF,99,,,,,,,,,
10002099,Decisions about project priorities. Teams are often given many top priorities and it's difficult to create focus and provide meaningful deliverables with those competing or changing priorities.,4,,,,,,,,,
10002101,REF,99,,,,,,,,,
10002102,N/A.,99,,,,,,,,,
10002103,REF,99,,,,,,,,,
10002105,REF,99,,,,,,,,,
10002106,- The organization structure at the mid and low levels that I am exposed to lead to a slow and fuzzy decision making; people gather in groups and committees to avoid the accountability for owning decisions.,5,13,,,,,,,,
10002107,REF,99,,,,,,,,,
10002108,REF,99,,,,,,,,,
10002109,Standardizing work across DTT would be valuable. There isn't alignment one when we should use vendors vs when we should use staff. Some directors are pushing for more vendor engagement while others are pushing for staff and there is a gap that junior engineers and leads are left to figure out.,98,,,,,,,,,
10002110,REF,99,,,,,,,,,
10002112,REF,99,,,,,,,,,
10002115,"We often have multiple solutions that solve for the same capability because are made in siloes.  Example (Multiple collaboration tools: Teams, Slack, Zoom, Solstice, Blue Jeans, etc).",63,,,,,,,,,
10002116,"Some decisions could be made more quickly than today. I think we are moving away from consensus, and that needs to continue. I think just general decision making techniques, like asking what people think the solution should be before you take much time on it, could save time if everyone is already in agreement or has a gut feel for the same decision.",13,15,,,,,,,,
10002117,"CFA should not enforce the vaccine mandate - I understand following laws, but I would expect CFA to fight back in certain situations, such as if a law was proposed that required businesses to be open on Sundays.  Requiring employees to be tested at least once per week is not a viable option, and segregating employees for mask-wearing based on vaccination status does not encourage good workplace culture.  I would expect a Christian company not to encourage vaccinations created with strong abortion ties.",37,72,7,,,,,,,
10002119,"Timing it takes to hire talent, a lot of talent end up finding other offers as the recruiting process is lengthy.",2,,,,,,,,,
10002120,How to easier bring long-term contractors into FTE.,33,,,,,,,,,
10002121,No other improvement I see for now.,98,,,,,,,,,
10002122,"CFA has outsourced many Operator facing services, which has reduced the Operator/Staff relationship to that of transaction and judgment. And we wonder why Operators don't trust Staff? The only way to show care to Operators is by having a relationship, and we need a reason to know one another. If every interaction with CFA is an interview, Operators will not share what is really going on in their lives, and the brand of CFA will suffer. Think Ryan Osbrink and the Las Vegas Operator who committed animal cruelty. Providing an internal executive coaching practice would go a long way.",53,28,,,,,,,,
10002123,REF,99,,,,,,,,,
10002124,Budgeting,98,,,,,,,,,
10002125,REF,99,,,,,,,,,
10002126,"Another type of decision I think Chick-fil-A can improve on is getting everyone in the business to adopt an AGILE and LEAN methodology mindset. These programs are available to Chick-fil-A and are on Degreed, but I think as an organization it is important to set these as standards and practices early in a new staff member's career with Chick-fil-A that will allow a new staff member to be equipped with the tools to tackle their projects. With periodic training and accountability, the new staff member can monitor for progress and improvements throughout their tenure with Chick-fil-A.",17,3,50,,,,,,,
10002127,REF,99,,,,,,,,,
10002128,Better mix of seasoned and new to workforce talent,2,,,,,,,,,
10002130,REF,99,,,,,,,,,
10002133,REF,99,,,,,,,,,
10002135,Needs to be careful about having a loud minority of people make decisions for the majority.,98,,,,,,,,,
10002137,REF,99,,,,,,,,,
10002138,"People decisions: we need to be able to hire faster, provide better accountability for people leaders giving good feedback, and be willing to let people go when necessary.",70,13,,,,,,,,
10002139,REF,99,,,,,,,,,
10002141,REF,99,,,,,,,,,
10002142,Staffing decisions,2,,,,,,,,,
10002143,REF,99,,,,,,,,,
10002144,"I think sometimes it more the giving the WHY when a decisions is made, not always the actual decisions itself",98,,,,,,,,,
10002147,REF,99,,,,,,,,,
10002148,REF,99,,,,,,,,,
10002149,"Approach to technical projects - we are taking on building way too many custom software projects ""because CFA is different"".   Teams are working in isolation to meet departmental requests without a whole-restaurant strategy.  We should be buying more software and only building what is absolutely necessary.  We are launching completely new development efforts faster than we are hiring individuals and it takes many individuals to develop software, or even oversee it being developed by contractors.",33,53,52,13,,,,,,
10002151,REF,99,,,,,,,,,
10002152,"Look to expand the Support Center geographically - the reality is that new talent has a hard time getting excited about making the drive to Buffington.  Marietta, Alpharetta, Midtown, Austin, TX, NC or SC - we are just getting too huge not to think about spinning up offices that are true representations of our brand.  Need to ensure these offices also have the benefits Buffington has - childcare, gym, cafe, etc.",2,20,,,,,,,,
10002154,Listen to a good mix of Operators. Operating decision to allow stores to close at 9 was looked on by other Operators as weakness.,53,,,,,,,,,
10002155,International,31,,,,,,,,,
10002156,"I know it's actively being worked, but one failing is a lack of a robust individual contributor track for technical employees at higher levels.  We've lost multiple great software engineers due to this, I imagine this is true in other technical areas as well.",98,,,,,,,,,
10002157,REF,99,,,,,,,,,
10002158,"In my department there seem to be certain guidelines that suggest,  and potentially require, contingent works to be sourced from the same vendor. This is problematic for a number of reasons - chief among them is the reality that having one vendor that can produce an exceptional team, of say 3-5 resources, is extremely difficult, and therefore rare. If our goal is to produce the best work possible, for the long term health and benefit of the company, then we should select the best individual resources, not based on the vendor, but on each individual's ability.",98,,,,,,,,,
10002161,"CFA needs to continue to work  on Diversity and Inclusion, may be sharing DEI messages during team meetings will be a great way to start being transparent help spread the word",14,69,19,,,,,,,
10002162,REF,99,,,,,,,,,
10002165,"We do not effectively acknowledge failed products. Suggested ordering has existed for years without cracking a 40% adoption rate, and the items that they do accept it for are low-value. That is failure. And yet, we continue to dedicate an inordinate amount of time and effort to this project. We blame the need for better inventory data (i.e. getting the operators to provide more accurate inventory counts), but maybe the operators are telling you that suggested ordering just isn't that helpful to them to justify that work. That is failure.",53,10,,,,,,,,
10002169,"Our small team structure means most people become fullstack developers. This isn't necessarily bad, but it means more time spent learning, and people working on areas they're not experienced in, like backend devs needing to build UI's. It would be more efficient to have a team structure that allows people to specialize.",5,,,,,,,,,
10002170,REF,99,,,,,,,,,
10002171,REF,99,,,,,,,,,
10002173,Allow the culture to stretch and bend a bit to keep up with the modern workplace,7,,,,,,,,,
10002174,I am too new to specify in a useful manner.,98,,,,,,,,,
10002175,REF,99,,,,,,,,,
10002178,REF,99,,,,,,,,,
10002183,REF,99,,,,,,,,,
10002185,N/A,99,,,,,,,,,
10002186,Decisions around planning for the future year,98,,,,,,,,,
10002187,REF,99,,,,,,,,,
10002188,REF,99,,,,,,,,,
10002190,REF,99,,,,,,,,,
10002192,Falling into the trap of taking POCs to production,98,,,,,,,,,
10002193,"Making sure that we build in time and resources to respond to rapidly changing directions.  If we plan 100% of resources for a year, it makes it difficult to respond quickly to changes needed to best serve the restaurants.",53,13,,,,,,,,
10002194,A decision on who gets promoted and providing clear direction on how the promotion process works.,3,12,,,,,,,,
10002195,REF,99,,,,,,,,,
10002196,Decisions around what is in scope for a project.,40,,,,,,,,,
10002197,REF,99,,,,,,,,,
10002198,REF,99,,,,,,,,,
10002200,Decisions where we don't have a lot of data/information. We like to be well informed in our decisions and not having a lot of information on the correct decision to make can be hard for our highly responsible/risk averse staff.,98,,,,,,,,,
10002202,Chick-fil-A could improve the sequencing of work so that groups across the company are working on the same outcomes at the same time and therefore able to be most productive together. Connecting and sequencing similar work that is happening across departments would save a lot of churn and duplicative efforts that happen today.,52,,,,,,,,,
10002203,"Hiring decisions (make good ones, just the speed at which we do)",2,13,,,,,,,,
10002206,"We are growing really fast, so it takes longer to find the right people or teams to work with now even for people that have been at CFA for a number of years.",54,13,,,,,,,,
10002207,People Decisions (Flexible Future),16,,,,,,,,,
10002209,REF,99,,,,,,,,,
10002210,n/a,99,,,,,,,,,
10002211,REF,99,,,,,,,,,
10002212,REF,99,,,,,,,,,
10002213,"Chick-fil-A should certainly listed to their candidates.  I recently relocated to Atlanta for a job (about three hours from my original location).  My family had lived in that previous area for over 10 years.  We agonized over the decision to relocate to Atlanta for the CFA position.  My position was made clear to the recruiter, but it was made clear that the position would have to relocate. In the end we decided to relocate, pulling our four kids out of the world they were comfortable in, and being torn away from deep friendships. Last week it was announced that now we can live anywhere as long as we can travel for the new flexible future. This certainly made myself and my wife feel like we were kicked in the stomach. The relocation was and still is VERY hard on my family.",2,16,,,,,,,,
10002215,REF,99,,,,,,,,,
10002217,REF,99,,,,,,,,,
10002218,REF,99,,,,,,,,,
10002220,REF,99,,,,,,,,,
10002224,REF,99,,,,,,,,,
10002225,REF,99,,,,,,,,,
10002226,REF,99,,,,,,,,,
10002227,Flexibility - full remote work as well as part time options,64,,,,,,,,,
10002228,Infrastructure. We put too little focus on maintaining what already exists in order to add more to the catalog.,4,,,,,,,,,
10002229,Return to Office ramp up.,16,,,,,,,,,
10002231,Chick-fil-A has a hard time making decisions if not everyone agrees with it. They want everyone to be in harmony together.,98,,,,,,,,,
10002233,REF,99,,,,,,,,,
10002234,REF,99,,,,,,,,,
10002235,REF,99,,,,,,,,,
10002236,Chick-fil-A could improve how they are perceived by highlighting diversity among staff members.,69,,,,,,,,,
10002238,REF,99,,,,,,,,,
10002239,REF,99,,,,,,,,,
10002240,Promote from within.,98,,,,,,,,,
10002241,Seasoned waffle fries are a great need.  I can't stress enough that this decision should be made.,98,,,,,,,,,
